Respondent_ID,Choice_Set_ID,Main_Choice,Sub_Option,Rank,Abroad Study?
20,Environmental Factors,A,Access to clean and sustainable living environments,1,No plan to go
20,Environmental Factors,A,Limited availability of outdoor recreational activities,2,No plan to go
20,Environmental Factors,A,Higher cost of living in environmentally rich regions,3,No plan to go
21,Education Quality,A,Limited availability of scholarships,1,No plan to go
21,Education Quality,A,High-quality education,2,No plan to go
21,Education Quality,A,Moderately priced tuition fees,3,No plan to go
21,Career Prospects,A,Higher paygrade,1,No plan to go
21,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,No plan to go
21,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
21,Political Factors,A,Political stability and security in the home country,1,No plan to go
21,Political Factors,A,Abundant access to civil liberties and freedom of expression,2,No plan to go
21,Political Factors,A,Lower living expenses due to economic challenges,3,No plan to go
21,Social Factors,A,Access to diverse social networks and communities,1,No plan to go
21,Social Factors,A,Few opportunities for social interaction,2,No plan to go
21,Social Factors,A,Higher cost of living in socially vibrant urban areas,3,No plan to go
21,Safety/Security,B,Efficient emergency services,1,No plan to go
21,Safety/Security,B,Low crime rates,2,No plan to go
21,Safety/Security,B,Active police presence,3,No plan to go
21,University Preference,B,Moderately prestige and reputation of universities,1,No plan to go
21,University Preference,B,Diverse availability of desired courses,2,No plan to go
21,University Preference,B,More opportunity after graduation,3,No plan to go
21,Language Access,A,Majority of the population speaks a language I am fluent in,1,No plan to go
21,Language Access,A,Communication is generally easy due to fluency in the local language,2,No plan to go
21,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
21,Cultural Exposure,A,Rich cultural exposure and diversity on campus,1,No plan to go
21,Cultural Exposure,A,Limited access to cultural events,2,No plan to go
21,Cultural Exposure,A,Few opportunities for cultural exchange,3,No plan to go
21,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
21,Research Opportunities,A,Limited availability of research job opportunities after studies,2,No plan to go
21,Research Opportunities,A,Few collaborations with other researchers,3,No plan to go
21,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,No plan to go
21,Environmental Factors,A,Access to clean and sustainable living environments,2,No plan to go
21,Environmental Factors,A,Limited availability of outdoor recreational activities,3,No plan to go
22,Education Quality,A,Limited availability of scholarships,1,No plan to go
22,Education Quality,A,High-quality education,2,No plan to go
22,Education Quality,A,Moderately priced tuition fees,3,No plan to go
22,Career Prospects,A,Higher paygrade,1,No plan to go
22,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,No plan to go
22,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
22,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
22,Political Factors,A,Political stability and security in the home country,2,No plan to go
22,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,No plan to go
22,Social Factors,A,Access to diverse social networks and communities,1,No plan to go
22,Social Factors,A,Few opportunities for social interaction,2,No plan to go
22,Social Factors,A,Higher cost of living in socially vibrant urban areas,3,No plan to go
22,Safety/Security,B,Efficient emergency services,1,No plan to go
22,Safety/Security,B,Low crime rates,2,No plan to go
22,Safety/Security,B,Active police presence,3,No plan to go
22,University Preference,A,Few opportunity after graduation,1,No plan to go
22,University Preference,A,Prestige and reputation of universities,2,No plan to go
22,University Preference,A,Limited availability of desired courses,3,No plan to go
22,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,No plan to go
22,Language Access,B,Different primary language spoken requiring language adaptation,2,No plan to go
22,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
22,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,No plan to go
22,Cultural Exposure,B,Accessible cultural events,2,No plan to go
22,Cultural Exposure,B,Greater opportunities for cultural exchange,3,No plan to go
22,Research Opportunities,A,Few collaborations with other researchers,1,No plan to go
22,Research Opportunities,A,Abundant research opportunities and resources available during studies,2,No plan to go
22,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
22,Environmental Factors,A,Access to clean and sustainable living environments,1,No plan to go
22,Environmental Factors,A,Limited availability of outdoor recreational activities,2,No plan to go
22,Environmental Factors,A,Higher cost of living in environmentally rich regions,3,No plan to go
23,Education Quality,A,High-quality education,1,Yes
23,Education Quality,A,Moderately priced tuition fees,2,Yes
23,Education Quality,A,Limited availability of scholarships,3,Yes
23,Career Prospects,A,Higher paygrade,1,Yes
23,Career Prospects,A,Strong career prospects and job opportunities post-graduation,2,Yes
23,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,Yes
23,Political Factors,B,Limited access to civil liberties and freedom of expression,1,Yes
23,Political Factors,B,Higher living expenses due to economic challenges,2,Yes
23,Political Factors,B,Political instability and unrest in the home country,3,Yes
23,Social Factors,B,Abundant opportunities for social interaction,1,Yes
23,Social Factors,B,Lower cost of living in quieter areas,2,Yes
23,Social Factors,B,Limited social integration and community engagement,3,Yes
23,Safety/Security,B,Low crime rates,1,Yes
23,Safety/Security,B,Efficient emergency services,2,Yes
23,Safety/Security,B,Active police presence,3,Yes
23,University Preference,B,Moderately prestige and reputation of universities,1,Yes
23,University Preference,B,Diverse availability of desired courses,2,Yes
23,University Preference,B,More opportunity after graduation,3,Yes
23,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),1,Yes
23,Language Access,B,Different primary language spoken requiring language adaptation,2,Yes
23,Language Access,B,Some level of language barrier may exist making communication less straightforward,3,Yes
23,Cultural Exposure,B,Greater opportunities for cultural exchange,1,Yes
23,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,Yes
23,Cultural Exposure,B,Accessible cultural events,3,Yes
23,Research Opportunities,B,Abundant availability of research job opportunities after studies,1,Yes
23,Research Opportunities,B,High collaborations with other researchers,2,Yes
23,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
23,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,Yes
23,Environmental Factors,A,Access to clean and sustainable living environments,2,Yes
23,Environmental Factors,A,Limited availability of outdoor recreational activities,3,Yes
24,Education Quality,A,High-quality education,1,No plan to go
24,Education Quality,A,Moderately priced tuition fees,2,No plan to go
24,Education Quality,A,Limited availability of scholarships,3,No plan to go
24,Career Prospects,A,Limited availability of part-time job opportunities during studies,1,No plan to go
24,Career Prospects,A,Higher paygrade,2,No plan to go
24,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,No plan to go
24,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
24,Political Factors,A,Political stability and security in the home country,2,No plan to go
24,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,No plan to go
24,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,No plan to go
24,Social Factors,A,Access to diverse social networks and communities,2,No plan to go
24,Social Factors,A,Few opportunities for social interaction,3,No plan to go
24,Economic Factors,A,Access to diverse job opportunities with competitive salaries,1,No plan to go
24,Economic Factors,A,Limited availability of affordable housing options,2,No plan to go
24,Economic Factors,A,Higher cost of living in urban areas,3,No plan to go
24,Safety/Security,B,Active police presence,1,No plan to go
24,Safety/Security,B,Efficient emergency services,2,No plan to go
24,Safety/Security,B,Low crime rates,3,No plan to go
24,University Preference,B,Moderately prestige and reputation of universities,1,No plan to go
24,University Preference,B,Diverse availability of desired courses,2,No plan to go
24,University Preference,B,More opportunity after graduation,3,No plan to go
24,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,No plan to go
24,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),2,No plan to go
24,Language Access,B,Different primary language spoken requiring language adaptation,3,No plan to go
24,Cultural Exposure,B,Greater opportunities for cultural exchange,1,No plan to go
24,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,No plan to go
24,Cultural Exposure,B,Accessible cultural events,3,No plan to go
24,Research Opportunities,B,Abundant availability of research job opportunities after studies,1,No plan to go
24,Research Opportunities,B,High collaborations with other researchers,2,No plan to go
24,Research Opportunities,B,Limited research opportunities and resources available during studies,3,No plan to go
24,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,No plan to go
24,Environmental Factors,B,Exposure to environmental pollution and degradation,2,No plan to go
24,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,No plan to go
25,Education Quality,A,Moderately priced tuition fees,1,I am already in Abroad
25,Education Quality,A,High-quality education,2,I am already in Abroad
25,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
25,Career Prospects,A,Limited availability of part-time job opportunities during studies,1,I am already in Abroad
25,Career Prospects,A,Higher paygrade,2,I am already in Abroad
25,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,I am already in Abroad
25,Political Factors,A,Lower living expenses due to economic challenges,1,I am already in Abroad
25,Political Factors,A,Political stability and security in the home country,2,I am already in Abroad
25,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,I am already in Abroad
25,Social Factors,B,Abundant opportunities for social interaction,1,I am already in Abroad
25,Social Factors,B,Lower cost of living in quieter areas,2,I am already in Abroad
25,Social Factors,B,Limited social integration and community engagement,3,I am already in Abroad
25,Safety/Security,B,Active police presence,1,I am already in Abroad
25,Safety/Security,B,Efficient emergency services,2,I am already in Abroad
25,Safety/Security,B,Low crime rates,3,I am already in Abroad
25,University Preference,A,Limited availability of desired courses,1,I am already in Abroad
25,University Preference,A,Prestige and reputation of universities,2,I am already in Abroad
25,University Preference,A,Few opportunity after graduation,3,I am already in Abroad
25,Language Access,B,Different primary language spoken requiring language adaptation,1,I am already in Abroad
25,Language Access,B,Some level of language barrier may exist making communication less straightforward,2,I am already in Abroad
25,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
25,Cultural Exposure,B,Greater opportunities for cultural exchange,1,I am already in Abroad
25,Cultural Exposure,B,Limited cultural exposure and diversity on campus,2,I am already in Abroad
25,Cultural Exposure,B,Accessible cultural events,3,I am already in Abroad
25,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,I am already in Abroad
25,Research Opportunities,A,Limited availability of research job opportunities after studies,2,I am already in Abroad
25,Research Opportunities,A,Few collaborations with other researchers,3,I am already in Abroad
25,Environmental Factors,A,Access to clean and sustainable living environments,1,I am already in Abroad
25,Environmental Factors,A,Limited availability of outdoor recreational activities,2,I am already in Abroad
25,Environmental Factors,A,Higher cost of living in environmentally rich regions,3,I am already in Abroad
26,Education Quality,B,Abundant availability of scholarships,1,No plan to go
26,Education Quality,B,Moderate-quality education,2,No plan to go
26,Education Quality,B,High tuition fees,3,No plan to go
26,Career Prospects,A,Strong career prospects and job opportunities post-graduation,1,No plan to go
26,Career Prospects,A,Higher paygrade,2,No plan to go
26,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
26,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
26,Political Factors,A,Political stability and security in the home country,2,No plan to go
26,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,No plan to go
26,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,No plan to go
26,Social Factors,A,Few opportunities for social interaction,2,No plan to go
26,Social Factors,A,Access to diverse social networks and communities,3,No plan to go
26,Economic Factors,B,Limited job opportunities with lower salaries,1,No plan to go
26,Economic Factors,B,Abundant availability of affordable housing options,2,No plan to go
26,Economic Factors,B,Lower cost of living in rural areas,3,No plan to go
26,Safety/Security,B,Active police presence,1,No plan to go
26,Safety/Security,B,Efficient emergency services,2,No plan to go
26,Safety/Security,B,Low crime rates,3,No plan to go
26,University Preference,B,Diverse availability of desired courses,1,No plan to go
26,University Preference,B,Moderately prestige and reputation of universities,2,No plan to go
26,University Preference,B,More opportunity after graduation,3,No plan to go
26,Language Access,A,Communication is generally easy due to fluency in the local language,1,No plan to go
26,Language Access,A,Majority of the population speaks a language I am fluent in,2,No plan to go
26,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
26,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,No plan to go
26,Cultural Exposure,B,Accessible cultural events,2,No plan to go
26,Cultural Exposure,B,Greater opportunities for cultural exchange,3,No plan to go
26,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
26,Research Opportunities,A,Few collaborations with other researchers,2,No plan to go
26,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
26,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,No plan to go
26,Environmental Factors,B,Abundant availability of outdoor recreational activities,2,No plan to go
26,Environmental Factors,B,Exposure to environmental pollution and degradation,3,No plan to go
27,Education Quality,B,Abundant availability of scholarships,1,No plan to go
27,Education Quality,B,Moderate-quality education,2,No plan to go
27,Education Quality,B,High tuition fees,3,No plan to go
27,Career Prospects,A,Strong career prospects and job opportunities post-graduation,1,No plan to go
27,Career Prospects,A,Higher paygrade,2,No plan to go
27,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
27,Political Factors,B,Limited access to civil liberties and freedom of expression,1,No plan to go
27,Political Factors,B,Higher living expenses due to economic challenges,2,No plan to go
27,Political Factors,B,Political instability and unrest in the home country,3,No plan to go
27,Social Factors,A,Access to diverse social networks and communities,1,No plan to go
27,Social Factors,A,Higher cost of living in socially vibrant urban areas,2,No plan to go
27,Social Factors,A,Few opportunities for social interaction,3,No plan to go
27,Safety/Security,A,Limited police presence,1,No plan to go
27,Safety/Security,A,Inadequate emergency services,2,No plan to go
27,Safety/Security,A,High crime rates,3,No plan to go
27,University Preference,B,Moderately prestige and reputation of universities,1,No plan to go
27,University Preference,B,Diverse availability of desired courses,2,No plan to go
27,University Preference,B,More opportunity after graduation,3,No plan to go
27,Language Access,B,Some level of language barrier may exist making communication less straightforward,1,No plan to go
27,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),2,No plan to go
27,Language Access,B,Different primary language spoken requiring language adaptation,3,No plan to go
27,Cultural Exposure,B,Accessible cultural events,1,No plan to go
27,Cultural Exposure,B,Greater opportunities for cultural exchange,2,No plan to go
27,Cultural Exposure,B,Limited cultural exposure and diversity on campus,3,No plan to go
27,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
27,Research Opportunities,A,Few collaborations with other researchers,2,No plan to go
27,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
27,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,No plan to go
27,Environmental Factors,A,Limited availability of outdoor recreational activities,2,No plan to go
27,Environmental Factors,A,Access to clean and sustainable living environments,3,No plan to go
28,Education Quality,B,High tuition fees,1,No plan to go
28,Education Quality,B,Abundant availability of scholarships,2,No plan to go
28,Education Quality,B,Moderate-quality education,3,No plan to go
28,Career Prospects,A,Limited availability of part-time job opportunities during studies,1,No plan to go
28,Career Prospects,A,Higher paygrade,2,No plan to go
28,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,No plan to go
28,Political Factors,A,Lower living expenses due to economic challenges,1,No plan to go
28,Political Factors,A,Abundant access to civil liberties and freedom of expression,2,No plan to go
28,Political Factors,A,Political stability and security in the home country,3,No plan to go
28,Social Factors,B,Limited social integration and community engagement,1,No plan to go
28,Social Factors,B,Abundant opportunities for social interaction,2,No plan to go
28,Social Factors,B,Lower cost of living in quieter areas,3,No plan to go
28,Safety/Security,A,Inadequate emergency services,1,No plan to go
28,Safety/Security,A,High crime rates,2,No plan to go
28,Safety/Security,A,Limited police presence,3,No plan to go
28,University Preference,A,Limited availability of desired courses,1,No plan to go
28,University Preference,A,Prestige and reputation of universities,2,No plan to go
28,University Preference,A,Few opportunity after graduation,3,No plan to go
28,Language Access,A,Communication is generally easy due to fluency in the local language,1,No plan to go
28,Language Access,A,Majority of the population speaks a language I am fluent in,2,No plan to go
28,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,No plan to go
28,Cultural Exposure,A,Limited access to cultural events,1,No plan to go
28,Cultural Exposure,A,Rich cultural exposure and diversity on campus,2,No plan to go
28,Cultural Exposure,A,Few opportunities for cultural exchange,3,No plan to go
28,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
28,Research Opportunities,A,Few collaborations with other researchers,2,No plan to go
28,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
28,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,No plan to go
28,Environmental Factors,B,Abundant availability of outdoor recreational activities,2,No plan to go
28,Environmental Factors,B,Exposure to environmental pollution and degradation,3,No plan to go
29,Education Quality,A,High-quality education,1,No plan to go
29,Education Quality,A,Moderately priced tuition fees,2,No plan to go
29,Education Quality,A,Limited availability of scholarships,3,No plan to go
29,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,No plan to go
29,Career Prospects,B,Lower paygrade,2,No plan to go
29,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,3,No plan to go
29,Political Factors,B,Higher living expenses due to economic challenges,1,No plan to go
29,Political Factors,B,Political instability and unrest in the home country,2,No plan to go
29,Political Factors,B,Limited access to civil liberties and freedom of expression,3,No plan to go
29,Social Factors,B,Limited social integration and community engagement,1,No plan to go
29,Social Factors,B,Abundant opportunities for social interaction,2,No plan to go
29,Social Factors,B,Lower cost of living in quieter areas,3,No plan to go
29,Economic Factors,B,Abundant availability of affordable housing options,1,No plan to go
29,Economic Factors,B,Lower cost of living in rural areas,2,No plan to go
29,Economic Factors,B,Limited job opportunities with lower salaries,3,No plan to go
29,Safety/Security,B,Active police presence,1,No plan to go
29,Safety/Security,B,Efficient emergency services,2,No plan to go
29,Safety/Security,B,Low crime rates,3,No plan to go
29,University Preference,B,Moderately prestige and reputation of universities,1,No plan to go
29,University Preference,B,More opportunity after graduation,2,No plan to go
29,University Preference,B,Diverse availability of desired courses,3,No plan to go
29,Language Access,B,Different primary language spoken requiring language adaptation,1,No plan to go
29,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),2,No plan to go
29,Language Access,B,Some level of language barrier may exist making communication less straightforward,3,No plan to go
29,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,No plan to go
29,Cultural Exposure,B,Accessible cultural events,2,No plan to go
29,Cultural Exposure,B,Greater opportunities for cultural exchange,3,No plan to go
29,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,No plan to go
29,Research Opportunities,A,Few collaborations with other researchers,2,No plan to go
29,Research Opportunities,A,Limited availability of research job opportunities after studies,3,No plan to go
29,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,No plan to go
29,Environmental Factors,B,Exposure to environmental pollution and degradation,2,No plan to go
29,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,No plan to go
30,Education Quality,B,High tuition fees,1,Yes
30,Education Quality,B,Abundant availability of scholarships,2,Yes
30,Education Quality,B,Moderate-quality education,3,Yes
30,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,Yes
30,Career Prospects,B,Lower paygrade,2,Yes
30,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,3,Yes
30,Political Factors,B,Political instability and unrest in the home country,1,Yes
30,Political Factors,B,Limited access to civil liberties and freedom of expression,2,Yes
30,Political Factors,B,Higher living expenses due to economic challenges,3,Yes
30,Social Factors,B,Abundant opportunities for social interaction,1,Yes
30,Social Factors,B,Limited social integration and community engagement,2,Yes
30,Social Factors,B,Lower cost of living in quieter areas,3,Yes
30,Economic Factors,B,Limited job opportunities with lower salaries,1,Yes
30,Economic Factors,B,Abundant availability of affordable housing options,2,Yes
30,Economic Factors,B,Lower cost of living in rural areas,3,Yes
30,Safety/Security,B,Active police presence,1,Yes
30,Safety/Security,B,Low crime rates,2,Yes
30,Safety/Security,B,Efficient emergency services,3,Yes
30,University Preference,B,Diverse availability of desired courses,1,Yes
30,University Preference,B,Moderately prestige and reputation of universities,2,Yes
30,University Preference,B,More opportunity after graduation,3,Yes
30,Language Access,B,Different primary language spoken requiring language adaptation,1,Yes
30,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),2,Yes
30,Language Access,B,Some level of language barrier may exist making communication less straightforward,3,Yes
30,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,Yes
30,Cultural Exposure,B,Accessible cultural events,2,Yes
30,Cultural Exposure,B,Greater opportunities for cultural exchange,3,Yes
30,Research Opportunities,B,High collaborations with other researchers,1,Yes
30,Research Opportunities,B,Abundant availability of research job opportunities after studies,2,Yes
30,Research Opportunities,B,Limited research opportunities and resources available during studies,3,Yes
30,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,Yes
30,Environmental Factors,B,Exposure to environmental pollution and degradation,2,Yes
30,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,Yes
31,Education Quality,A,High-quality education,1,Yes
31,Education Quality,A,Moderately priced tuition fees,2,Yes
31,Education Quality,A,Limited availability of scholarships,3,Yes
31,Career Prospects,B,Lower paygrade,1,Yes
31,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,2,Yes
31,Career Prospects,B,Abundant availability of part-time job opportunities during studies,3,Yes
31,Political Factors,B,Political instability and unrest in the home country,1,Yes
31,Political Factors,B,Limited access to civil liberties and freedom of expression,2,Yes
31,Political Factors,B,Higher living expenses due to economic challenges,3,Yes
31,Social Factors,B,Lower cost of living in quieter areas,1,Yes
31,Social Factors,B,Abundant opportunities for social interaction,2,Yes
31,Social Factors,B,Limited social integration and community engagement,3,Yes
31,Safety/Security,B,Efficient emergency services,1,Yes
31,Safety/Security,B,Low crime rates,2,Yes
31,Safety/Security,B,Active police presence,3,Yes
31,University Preference,B,Diverse availability of desired courses,1,Yes
31,University Preference,B,Moderately prestige and reputation of universities,2,Yes
31,University Preference,B,More opportunity after graduation,3,Yes
31,Language Access,B,Different primary language spoken requiring language adaptation,1,Yes
31,Language Access,B,Some level of language barrier may exist making communication less straightforward,2,Yes
31,Language Access,B,Requirement for language proficiency tests (IELTS/PET/TOEFL),3,Yes
31,Cultural Exposure,B,Limited cultural exposure and diversity on campus,1,Yes
31,Cultural Exposure,B,Accessible cultural events,2,Yes
31,Cultural Exposure,B,Greater opportunities for cultural exchange,3,Yes
31,Research Opportunities,A,Abundant research opportunities and resources available during studies,1,Yes
31,Research Opportunities,A,Few collaborations with other researchers,2,Yes
31,Research Opportunities,A,Limited availability of research job opportunities after studies,3,Yes
31,Environmental Factors,A,Limited availability of outdoor recreational activities,1,Yes
31,Environmental Factors,A,Higher cost of living in environmentally rich regions,2,Yes
31,Environmental Factors,A,Access to clean and sustainable living environments,3,Yes
32,Education Quality,A,Moderately priced tuition fees,1,I am already in Abroad
32,Education Quality,A,Limited availability of scholarships,2,I am already in Abroad
32,Education Quality,A,High-quality education,3,I am already in Abroad
32,Career Prospects,A,Limited availability of part-time job opportunities during studies,1,I am already in Abroad
32,Career Prospects,A,Higher paygrade,2,I am already in Abroad
32,Career Prospects,A,Strong career prospects and job opportunities post-graduation,3,I am already in Abroad
32,Political Factors,A,Political stability and security in the home country,1,I am already in Abroad
32,Political Factors,A,Abundant access to civil liberties and freedom of expression,2,I am already in Abroad
32,Political Factors,A,Lower living expenses due to economic challenges,3,I am already in Abroad
32,Social Factors,A,Higher cost of living in socially vibrant urban areas,1,I am already in Abroad
32,Social Factors,A,Access to diverse social networks and communities,2,I am already in Abroad
32,Social Factors,A,Few opportunities for social interaction,3,I am already in Abroad
32,Economic Factors,A,Higher cost of living in urban areas,1,I am already in Abroad
32,Economic Factors,A,Access to diverse job opportunities with competitive salaries,2,I am already in Abroad
32,Economic Factors,A,Limited availability of affordable housing options,3,I am already in Abroad
32,Safety/Security,A,Limited police presence,1,I am already in Abroad
32,Safety/Security,A,Inadequate emergency services,2,I am already in Abroad
32,Safety/Security,A,High crime rates,3,I am already in Abroad
32,University Preference,A,Prestige and reputation of universities,1,I am already in Abroad
32,University Preference,A,Few opportunity after graduation,2,I am already in Abroad
32,University Preference,A,Limited availability of desired courses,3,I am already in Abroad
32,Language Access,A,Communication is generally easy due to fluency in the local language,1,I am already in Abroad
32,Language Access,A,Majority of the population speaks a language I am fluent in,2,I am already in Abroad
32,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
32,Cultural Exposure,A,Limited access to cultural events,1,I am already in Abroad
32,Cultural Exposure,A,Rich cultural exposure and diversity on campus,2,I am already in Abroad
32,Cultural Exposure,A,Few opportunities for cultural exchange,3,I am already in Abroad
32,Research Opportunities,A,Few collaborations with other researchers,1,I am already in Abroad
32,Research Opportunities,A,Abundant research opportunities and resources available during studies,2,I am already in Abroad
32,Research Opportunities,A,Limited availability of research job opportunities after studies,3,I am already in Abroad
32,Environmental Factors,A,Higher cost of living in environmentally rich regions,1,I am already in Abroad
32,Environmental Factors,A,Access to clean and sustainable living environments,2,I am already in Abroad
32,Environmental Factors,A,Limited availability of outdoor recreational activities,3,I am already in Abroad
33,Education Quality,A,High-quality education,1,I am already in Abroad
33,Education Quality,A,Moderately priced tuition fees,2,I am already in Abroad
33,Education Quality,A,Limited availability of scholarships,3,I am already in Abroad
33,Career Prospects,B,Abundant availability of part-time job opportunities during studies,1,I am already in Abroad
33,Career Prospects,B,Moderate career prospects and job opportunities post-graduation,2,I am already in Abroad
33,Career Prospects,B,Lower paygrade,3,I am already in Abroad
33,Political Factors,B,Higher living expenses due to economic challenges,1,I am already in Abroad
33,Political Factors,B,Political instability and unrest in the home country,2,I am already in Abroad
33,Political Factors,B,Limited access to civil liberties and freedom of expression,3,I am already in Abroad
33,Social Factors,B,Lower cost of living in quieter areas,1,I am already in Abroad
33,Social Factors,B,Abundant opportunities for social interaction,2,I am already in Abroad
33,Social Factors,B,Limited social integration and community engagement,3,I am already in Abroad
33,Economic Factors,A,Higher cost of living in urban areas,1,I am already in Abroad
33,Economic Factors,A,Access to diverse job opportunities with competitive salaries,2,I am already in Abroad
33,Economic Factors,A,Limited availability of affordable housing options,3,I am already in Abroad
33,Safety/Security,B,Efficient emergency services,1,I am already in Abroad
33,Safety/Security,B,Low crime rates,2,I am already in Abroad
33,Safety/Security,B,Active police presence,3,I am already in Abroad
33,University Preference,A,Prestige and reputation of universities,1,I am already in Abroad
33,University Preference,A,Few opportunity after graduation,2,I am already in Abroad
33,University Preference,A,Limited availability of desired courses,3,I am already in Abroad
33,Language Access,A,Communication is generally easy due to fluency in the local language,1,I am already in Abroad
33,Language Access,A,Majority of the population speaks a language I am fluent in,2,I am already in Abroad
33,Language Access,A,No requirement for language proficiency tests (IELTS/PET/TOEFL),3,I am already in Abroad
33,Cultural Exposure,A,Few opportunities for cultural exchange,1,I am already in Abroad
33,Cultural Exposure,A,Rich cultural exposure and diversity on campus,2,I am already in Abroad
33,Cultural Exposure,A,Limited access to cultural events,3,I am already in Abroad
33,Research Opportunities,B,High collaborations with other researchers,1,I am already in Abroad
33,Research Opportunities,B,Limited research opportunities and resources available during studies,2,I am already in Abroad
33,Research Opportunities,B,Abundant availability of research job opportunities after studies,3,I am already in Abroad
33,Environmental Factors,B,Lower cost of living in environmentally diverse regions,1,I am already in Abroad
33,Environmental Factors,B,Exposure to environmental pollution and degradation,2,I am already in Abroad
33,Environmental Factors,B,Abundant availability of outdoor recreational activities,3,I am already in Abroad
34,Education Quality,B,Abundant availability of scholarships,1,No plan to go
34,Education Quality,B,Moderate-quality education,2,No plan to go
34,Education Quality,B,High tuition fees,3,No plan to go
34,Career Prospects,A,Strong career prospects and job opportunities post-graduation,1,No plan to go
34,Career Prospects,A,Higher paygrade,2,No plan to go
34,Career Prospects,A,Limited availability of part-time job opportunities during studies,3,No plan to go
34,Political Factors,A,Political stability and security in the home country,1,No plan to go
34,Political Factors,A,Lower living expenses due to economic challenges,2,No plan to go
34,Political Factors,A,Abundant access to civil liberties and freedom of expression,3,No plan to go
34,Social Factors,B,Lower cost of living in quieter areas,1,No plan to go
34,Social Factors,B,Abundant opportunities for social interaction,2,No plan to go
34,Social Factors,B,Limited social integration and community engagement,3,No plan to go
34,Safety/Security,B,Low crime rates,1,No plan to go
